insert into aluno values (999, '88687797166', 'João', 'João', '1952-12-09', 696653, '2007', null, 31, null);
insert into aluno values (1018, '94127151895', 'Gael', 'Hugo', '1971-07-08', 208924, '2007', null, 50, null);
insert into aluno values (1019, '76991138188', 'Noah', 'Vitor', '1989-05-20', 645286, '2005', null, 51, null);
insert into aluno values (1020, '49755361629', 'Vitor', 'Otto', '1983-03-02', 69559, '2008', null, 52, null);
insert into aluno values (1021, '35696863519', 'Bento', 'Joaquim', '1955-04-14', 223227, '2007', null, 53, null);
insert into aluno values (1022, '23724376279', 'Gabriel', 'Eduardo', '1980-05-22', 224994, '2018', null, 54, null);
insert into aluno values (1023, '31277514339', 'Nathan', 'Bryan', '1993-01-18', 595638, '2006', null, 55, null);
insert into aluno values (1024, '31829968643', 'Gabriel', 'Otávio', '1966-07-22', 553464, '2005', null, 56, null);
insert into aluno values (1025, '87493551848', 'Noah', 'Gael', '1978-07-19', 747945, '2000', null, 57, null);
insert into aluno values (1026, '74736861526', 'Enrico', 'Henrique', '1981-01-24', 197242, '2002', null, 58, null);
insert into aluno values (1027, '71938623496', 'Josué', 'Luiz', '1957-03-12', 168127, '2018', null, 59, null);
insert into aluno values (1028, '57818291417', 'Oliver', 'Bryan', '1993-06-11', 353528, '1998', null, 60, null);
insert into aluno values (1029, '22734736118', 'Henrique', 'Felipe', '1961-11-08', 667900, '2012', null, 61, null);
insert into aluno values (1030, '49586182855', 'Eduardo', 'João', '1994-10-01', 61472, '1996', null, 62, null);
insert into aluno values (1031, '76162341142', 'Vitor', 'Ícaro', '1954-06-07', 569547, '1993', null, 63, null);
insert into aluno values (1032, '55498561364', 'Caio', 'Leonardo', '1975-07-18', 885776, '2007', null, 64, null);
insert into aluno values (1033, '67349684814', 'Valentim', 'Breno', '1980-04-17', 70571, '2008', null, 65, null);
insert into aluno values (1034, '39122257669', 'Otávio', 'Kauê', '2000-08-16', 774390, '2002', null, 66, null);
insert into aluno values (1035, '38242543344', 'João', 'Enzo', '1973-07-23', 313466, '1993', null, 67, null);
insert into aluno values (1036, '82495275465', 'Noah', 'Yan', '1989-08-12', 222732, '2007', null, 68, null);
insert into aluno values (1037, '92737924964', 'Otto', 'Pietro', '1967-01-05', 706422, '2003', null, 69, null);
insert into aluno values (1038, '91897339423', 'Felipe', 'Arthur', '1990-02-28', 818866, '2018', null, 70, null);
insert into aluno values (1039, '32587567232', 'Matheus', 'Luiz', '1994-04-14', 591658, '1993', null, 71, null);
insert into aluno values (1040, '55669667863', 'Gustavo', 'Davi', '1967-08-03', 914209, '1993', null, 72, null);
insert into aluno values (1041, '96289531737', 'Pedro', 'Ryan', '1986-02-21', 29767, '2003', null, 73, null);
insert into aluno values (1042, '67246165222', 'Eduardo', 'Lorenzo', '1969-02-13', 246668, '2014', null, 74, null);
insert into aluno values (1043, '54985844899', 'Enrico', 'Vicente', '1959-07-26', 978338, '1992', null, 75, null);
insert into aluno values (1044, '81943572338', 'Vicente', 'Lucas', '1964-07-16', 464807, '2005', null, 76, null);
insert into aluno values (1045, '47258883546', 'Luiz', 'Cauã', '1951-12-06', 317529, '2002', null, 77, null);
insert into aluno values (1046, '68994514383', 'Otto', 'Hugo', '1974-03-13', 899193, '2013', null, 78, null);
insert into aluno values (1047, '76574842621', 'Davi', 'Joaquim', '1970-02-06', 307933, '2002', null, 79, null);
insert into aluno values (1048, '25228978257', 'Oliver', 'Anthony', '1953-08-21', 266706, '2004', null, 80, null);
insert into aluno values (1049, '29497642519', 'Pedro', 'Henrique', '1986-08-09', 706209, '1993', null, 81, null);
insert into aluno values (1050, '13159391741', 'Martin', 'Vitor', '1996-12-28', 828496, '2005', null, 82, null);
insert into aluno values (1051, '38427596616', 'Samuel', 'Lucas', '1965-02-26', 368363, '1992', null, 83, null);
insert into aluno values (1052, '59641647556', 'Gabriel', 'Hugo', '1971-11-15', 216335, '1992', null, 84, null);
insert into aluno values (1053, '25985157484', 'José', 'Caleb', '1950-05-23', 772651, '1991', null, 85, null);
insert into aluno values (1054, '88878492829', 'Oliver', 'Gabriel', '1979-12-13', 534723, '1997', null, 86, null);
insert into aluno values (1055, '44955853855', 'Lucas', 'Leonardo', '1990-04-03', 63110, '1998', null, 87, null);
insert into aluno values (1056, '15984421646', 'Gabriel', 'Yago', '1954-03-22', 103234, '1994', null, 88, null);
insert into aluno values (1057, '62881819258', 'Davi', 'Vitor', '1990-05-18', 463907, '2008', null, 89, null);
insert into aluno values (1058, '77863291164', 'Henrique', 'Otávio', '1952-05-28', 709162, '2012', null, 90, null);
insert into aluno values (1059, '34536745721', 'Gabriel', 'João', '2000-09-20', 514796, '2005', null, 91, null);
insert into aluno values (1060, '81924175327', 'Luiz', 'Yago', '1981-05-26', 963117, '1996', null, 92, null);
insert into aluno values (1061, '53597936887', 'Miguel', 'Gabriel', '1978-09-20', 214539, '2002', null, 93, null);
insert into aluno values (1062, '66399163931', 'Ravi', 'Ravi', '1958-09-05', 647675, '2000', null, 94, null);
insert into aluno values (1063, '73762313513', 'Joaquim', 'Lucas', '1993-01-05', 662077, '1993', null, 95, null);
insert into aluno values (1064, '27977617741', 'Anthony', 'Pedro', '1987-06-30', 631512, '2002', null, 96, null);
insert into aluno values (1065, '78698628174', 'Anthony', 'Henrique', '1987-07-13', 584770, '2004', null, 97, null);
insert into aluno values (1066, '92587931644', 'Gabriel', 'Leonardo', '1958-07-06', 483074, '1990', null, 98, null);
insert into aluno values (1067, '33337733578', 'Miguel', 'Matheus', '2000-05-04', 117625, '1993', null, 99, null);
insert into aluno values (1068, '34272875441', 'Luiz', 'Leonardo', '1977-03-17', 261120, '2006', null, 100, null);
insert into aluno values (1069, '75974671256', 'José', 'Gabriel', '1997-08-08', 448956, '2002', null, 101, null);
insert into aluno values (1070, '81521832785', 'Arthur', 'Henrique', '1980-07-01', 479532, '1998', null, 102, null);
insert into aluno values (1071, '44564536893', 'Caleb', 'Henry', '1950-04-03', 283846, '2005', null, 103, null);
insert into aluno values (1072, '72692718691', 'Leonardo', 'Rodrigo', '1953-03-08', 292950, '1994', null, 104, null);
insert into aluno values (1073, '68728919721', 'Otávio', 'Augusto', '1976-12-05', 716529, '2014', null, 105, null);
insert into aluno values (1074, '61392317242', 'Miguel', 'Isaac', '1955-05-28', 637943, '1990', null, 106, null);
insert into aluno values (1075, '34267797375', 'Lucas', 'Levi', '1990-04-25', 351791, '2012', null, 107, null);
insert into aluno values (1076, '14788467595', 'Henrique', 'Guilherme', '1973-02-22', 628480, '2007', null, 108, null);
insert into aluno values (1077, '56868491733', 'Felipe', 'Cauã', '1964-07-28', 466567, '2002', null, 109, null);
insert into aluno values (1078, '52548347642', 'Théo', 'Benício', '1973-12-02', 89228, '2000', null, 110, null);
insert into aluno values (1079, '58386933771', 'Gabriel', 'Vitor', '1977-07-01', 727538, '2006', null, 111, null);
insert into aluno values (1080, '15473178648', 'Ryan', 'Theodoro', '1975-02-28', 89228, '1998', null, 112, null);
insert into aluno values (1081, '38398535681', 'Anthony', 'Miguel', '1951-02-15', 307933, '2005', null, 113, null);
insert into aluno values (1082, '93772417837', 'Guilherme', 'Henrique', '1969-03-19', 777801, '2007', null, 114, null);
insert into aluno values (1083, '19181277418', 'Enrico', 'Samuel', '1969-01-06', 853716, '1990', null, 115, null);
insert into aluno values (1084, '75436195915', 'Lucca', 'Lorenzo', '1952-12-09', 338719, '1991', null, 116, null);
insert into aluno values (1085, '97411948283', 'Yago', 'João', '1967-05-25', 718358, '2004', null, 117, null);
insert into aluno values (1086, '86216141273', 'Thomas', 'Joaquim', '1950-09-30', 224480, '2008', null, 118, null);
insert into aluno values (1087, '71517354945', 'Lucas', 'Eduardo', '1977-02-24', 523577, '1993', null, 119, null);
insert into aluno values (1088, '84412496544', 'Yuri', 'João', '1955-03-31', 261120, '2019', null, 120, null);
insert into aluno values (1089, '72961576914', 'Francisco', 'Pietro', '1992-09-25', 667900, '2010', null, 121, null);
insert into aluno values (1090, '32599186343', 'Luiz', 'Henrique', '1988-02-25', 605058, '2019', null, 122, null);
insert into aluno values (1091, '13188511126', 'José', 'João', '1995-01-13', 126671, '2007', null, 123, null);
insert into aluno values (1092, '72843697114', 'Pedro', 'Lucas', '1994-05-20', 68194, '2006', null, 124, null);
insert into aluno values (1093, '18948267312', 'Francisco', 'Henrique', '1997-06-06', 628480, '2015', null, 125, null);
insert into aluno values (1094, '61315113569', 'Yan', 'Davi', '1988-09-10', 480182, '2004', null, 126, null);
insert into aluno values (1095, '83583775482', 'Murilo', 'Bryan', '1987-10-11', 126671, '1991', null, 127, null);
insert into aluno values (1096, '66813565919', 'Miguel', 'Henrique', '1981-05-31', 342794, '1991', null, 128, null);
insert into aluno values (1097, '18497223233', 'Pedro', 'Henrique', '1962-05-25', 222776, '2006', null, 129, null);
insert into aluno values (1098, '34865461666', 'Josué', 'Bryan', '1976-12-26', 582697, '2015', null, 130, null);
insert into aluno values (1099, '81714663236', 'Miguel', 'Samuel', '1986-04-25', 239652, '2000', null, 131, null);
insert into aluno values (1100, '82893146739', 'Vitor', 'Davi', '1978-07-11', 222732, '2014', null, 132, null);
insert into aluno values (1101, '94494287653', 'Miguel', 'Gabriel', '1950-06-12', 270919, '2010', null, 133, null);
insert into aluno values (1102, '68437539596', 'Benjamin', 'Lucas', '1964-02-29', 373697, '2013', null, 134, null);
insert into aluno values (1103, '42671993139', 'Leonardo', 'Vicente', '1996-02-10', 639569, '2013', null, 135, null);
insert into aluno values (1104, '73336982247', 'Enzo', 'Otávio', '1957-03-14', 389088, '1991', null, 136, null);
insert into aluno values (1105, '12136453895', 'Josué', 'Pedro', '1965-02-25', 743055, '2012', null, 137, null);
insert into aluno values (1106, '91629348197', 'Anthony', 'Erick', '1970-09-27', 770978, '2001', null, 138, null);
insert into aluno values (1107, '46271298787', 'Luiz', 'Martin', '1956-10-20', 629344, '2014', null, 139, null);
insert into aluno values (1108, '85499534129', 'João', 'Guilherme', '1970-10-09', 807634, '2018', null, 140, null);
insert into aluno values (1109, '22622963691', 'Breno', 'Henrique', '1989-05-01', 737633, '1994', null, 141, null);
insert into aluno values (1110, '67178328214', 'Pietro', 'Josué', '1972-07-11', 429358, '2006', null, 142, null);
insert into aluno values (1111, '87522922765', 'Rodrigo', 'Miguel', '1982-12-14', 134507, '2004', null, 143, null);
insert into aluno values (1112, '11752977612', 'Gabriel', 'Vitor', '1997-06-03', 17034, '2013', null, 144, null);
insert into aluno values (1113, '79712164567', 'Vitor', 'Augusto', '1990-05-01', 479532, '1991', null, 145, null);
insert into aluno values (1114, '77358615638', 'Gabriel', 'Gael', '1953-06-21', 266706, '2017', null, 146, null);
insert into aluno values (1115, '11912396186', 'Gabriel', 'Arthur', '1991-04-18', 777801, '2008', null, 147, null);
insert into aluno values (1116, '23918171588', 'Enrico', 'Miguel', '1988-04-18', 931617, '1992', null, 148, null);
insert into aluno values (1117, '75126225928', 'Miguel', 'Bryan', '1991-12-01', 208924, '2011', null, 149, null);
insert into aluno values (1118, '89861749333', 'Pedro', 'Josué', '1985-05-06', 173163, '2013', null, 150, null);
insert into aluno values (1119, '18369163782', 'Pietro', 'Kauê', '1966-05-25', 63110, '2007', null, 151, null);
insert into aluno values (1120, '39273245144', 'João', 'Miguel', '1973-04-12', 463866, '2011', null, 152, null);
insert into aluno values (1121, '48875195426', 'Miguel', 'Augusto', '1998-12-02', 667900, '2007', null, 153, null);
insert into aluno values (1122, '51513361575', 'Anthony', 'Arthur', '1957-01-03', 351791, '2002', null, 154, null);
insert into aluno values (1123, '11541565751', 'João', 'Martin', '1959-03-05', 524650, '1990', null, 155, null);
insert into aluno values (1124, '65899346162', 'Heitor', 'Théo', '1958-12-16', 324654, '1997', null, 156, null);
insert into aluno values (1125, '17687181576', 'Matheus', 'Lucas', '1996-04-27', 986197, '2003', null, 157, null);
insert into aluno values (1126, '58337198792', 'Vitor', 'Henrique', '1950-03-25', 61472, '2004', null, 158, null);
insert into aluno values (1127, '64285283756', 'Ravi', 'Otávio', '1976-06-14', 505312, '2012', null, 159, null);
insert into aluno values (1128, '52324429291', 'Tomás', 'Pedro', '1989-01-25', 577823, '2013', null, 160, null);
insert into aluno values (1129, '55687863187', 'Breno', 'Arthur', '1965-01-18', 299717, '1992', null, 161, null);
insert into aluno values (1130, '67532286712', 'Arthur', 'João', '2000-04-03', 55640, '2014', null, 162, null);
insert into aluno values (1131, '94776533185', 'Luiz', 'Miguel', '1953-11-17', 363278, '2005', null, 163, null);
insert into aluno values (1132, '92943539275', 'Anthony', 'Yuri', '1979-09-02', 377335, '2005', null, 164, null);
insert into aluno values (1133, '95125668926', 'Guilherme', 'Otto', '1999-09-30', 727431, '2000', null, 165, null);
insert into aluno values (1134, '63574818136', 'Gabriel', 'Henrique', '1967-10-29', 864695, '2008', null, 166, null);
insert into aluno values (1135, '51763431554', 'Henrique', 'Luiz', '1957-04-26', 542084, '2000', null, 167, null);
insert into aluno values (1136, '11783987625', 'Antônio', 'Heitor', '1951-12-12', 513460, '2014', null, 168, null);
insert into aluno values (1137, '54927968537', 'Nicolas', 'Ryan', '1953-02-27', 292950, '2011', null, 169, null);
insert into aluno values (1138, '18616963141', 'Yago', 'Luan', '1976-10-26', 595681, '2012', null, 170, null);
insert into aluno values (1139, '55778844293', 'Pedro', 'Arthur', '1961-08-24', 474399, '2016', null, 171, null);
insert into aluno values (1140, '44116966662', 'Gabriel', 'José', '1994-03-18', 786503, '2012', null, 172, null);
insert into aluno values (1141, '41658991779', 'Henrique', 'Francisco', '1970-11-25', 224480, '2008', null, 173, null);
insert into aluno values (1142, '87654344878', 'Lucca', 'Thomas', '1985-08-28', 59303, '1991', null, 174, null);
insert into aluno values (1143, '82127912275', 'Vinícius', 'Lucas', '1970-12-21', 794905, '1997', null, 175, null);
insert into aluno values (1144, '94977421217', 'Kauê', 'Henrique', '1987-08-08', 339331, '2010', null, 176, null);
insert into aluno values (1145, '79981245584', 'Miguel', 'Henry', '1982-01-23', 389088, '2004', null, 177, null);
insert into aluno values (1146, '72586154887', 'Gabriel', 'Ícaro', '1993-06-24', 215736, '2005', null, 178, null);
insert into aluno values (1147, '81984446591', 'Felipe', 'Martin', '1968-12-14', 571795, '2004', null, 179, null);
insert into aluno values (1148, '44393453583', 'Felipe', 'Luiz', '1993-06-27', 933995, '1999', null, 180, null);
insert into aluno values (1149, '96391781836', 'José', 'Lucas', '1954-02-27', 350314, '1997', null, 181, null);
insert into aluno values (1150, '75639391757', 'Raul', 'Luiz', '1974-12-19', 696653, '2007', null, 182, null);
insert into aluno values (1151, '14154279197', 'Gabriel', 'Arthur', '1997-10-19', 654068, '1998', null, 183, null);
insert into aluno values (1152, '38832272383', 'Nathan', 'Caleb', '1974-08-30', 681258, '1999', null, 184, null);
insert into aluno values (1153, '71669875141', 'Nicolas', 'Luiz', '1986-06-16', 783377, '1999', null, 185, null);
insert into aluno values (1154, '45268188911', 'Gabriel', 'Kauê', '1960-10-29', 954952, '1998', null, 186, null);
insert into aluno values (1155, '26243162728', 'Nicolas', 'Nicolas', '1963-02-19', 578334, '1997', null, 187, null);
insert into aluno values (1156, '82465313347', 'Davi', 'Henrique', '1955-05-11', 552236, '1990', null, 188, null);
insert into aluno values (1157, '83282857154', 'Benício', 'Caio', '1986-07-01', 147411, '2013', null, 189, null);
insert into aluno values (1158, '96852953818', 'Isaac', 'Vinícius', '1998-11-19', 670873, '2012', null, 190, null);
insert into aluno values (1159, '69662871199', 'Arthur', 'Miguel', '1989-08-30', 607601, '2014', null, 191, null);
insert into aluno values (1160, '22766395238', 'Otávio', 'Arthur', '1984-10-06', 747945, '1994', null, 192, null);
insert into aluno values (1161, '16199426273', 'Mathias', 'Lorenzo', '1987-02-11', 857672, '1999', null, 193, null);
insert into aluno values (1162, '91738849554', 'Rafael', 'Leonardo', '1980-12-06', 899193, '2001', null, 194, null);
insert into aluno values (1163, '64317869335', 'Luiz', 'Josué', '1994-01-17', 528306, '2015', null, 195, null);
insert into aluno values (1164, '86591795516', 'Enzo', 'Gabriel', '1988-08-30', 361616, '2007', null, 196, null);
insert into aluno values (1165, '96916297879', 'Bernardo', 'Leonardo', '1999-02-21', 657314, '2007', null, 197, null);
insert into aluno values (1166, '47376742731', 'Gabriel', 'Ícaro', '1966-05-10', 742100, '2003', null, 198, null);
insert into aluno values (1167, '27267116654', 'Kauê', 'Kauê', '1984-06-28', 683051, '2012', null, 199, null);
insert into aluno values (1168, '47226437674', 'Luiz', 'Caio', '1982-06-08', 565699, '1996', null, 200, null);
insert into aluno values (1169, '72978698927', 'Valentim', 'Lucas', '1956-11-04', 224480, '2007', null, 201, null);
insert into aluno values (1170, '28473741314', 'Anthony', 'Noah', '1981-10-24', 336182, '2004', null, 202, null);
insert into aluno values (1171, '79988858233', 'Bernardo', 'Breno', '1993-11-05', 458181, '1995', null, 203, null);
insert into aluno values (1172, '58319451218', 'Pedro', 'Noah', '1957-05-02', 720233, '1993', null, 204, null);
insert into aluno values (1173, '87635649238', 'Ryan', 'Pedro', '1950-10-13', 599302, '1998', null, 205, null);
insert into aluno values (1174, '55121988482', 'Luiz', 'Thiago', '1987-07-10', 963117, '2000', null, 206, null);
insert into aluno values (1175, '82314997964', 'Noah', 'Yan', '1979-08-05', 643449, '2017', null, 207, null);
insert into aluno values (1176, '28538696524', 'Pedro', 'Gustavo', '1978-01-02', 587706, '2016', null, 208, null);
insert into aluno values (1177, '62939824896', 'Lorenzo', 'Rodrigo', '1990-02-16', 690779, '1998', null, 209, null);
insert into aluno values (1178, '37947521777', 'Henrique', 'Ícaro', '1953-08-24', 795000, '2005', null, 210, null);
insert into aluno values (1179, '41137748433', 'Pedro', 'Arthur', '1972-11-26', 989451, '2008', null, 211, null);
insert into aluno values (1180, '54221974391', 'Lucas', 'Arthur', '1988-06-12', 8772, '1996', null, 212, null);
insert into aluno values (1181, '93896255645', 'Raul', 'Rodrigo', '1972-03-27', 786503, '2006', null, 213, null);
insert into aluno values (1182, '13569359632', 'Gustavo', 'Arthur', '1975-08-17', 398692, '1990', null, 214, null);
insert into aluno values (1183, '61752918795', 'Luiz', 'João', '1967-06-02', 723449, '1994', null, 215, null);
insert into aluno values (1184, '79368626628', 'Gustavo', 'Caio', '1962-05-11', 1736, '1993', null, 216, null);
insert into aluno values (1185, '77982957482', 'Murilo', 'Erick', '1998-08-17', 361056, '1998', null, 217, null);
insert into aluno values (1186, '99163175111', 'Theodoro', 'Miguel', '1987-06-26', 119962, '1993', null, 218, null);
insert into aluno values (1187, '84593294111', 'Arthur', 'Gabriel', '1981-04-22', 587312, '1995', null, 219, null);
insert into aluno values (1188, '32139592966', 'Luiz', 'Miguel', '1964-12-08', 542084, '1991', null, 220, null);
insert into aluno values (1189, '31946446952', 'Vitor', 'Nathan', '1951-11-09', 226432, '2000', null, 221, null);
insert into aluno values (1190, '17489468486', 'Lucca', 'Arthur', '1990-07-14', 552236, '1998', null, 222, null);
insert into aluno values (1191, '55499613222', 'Joaquim', 'Vitor', '1997-10-30', 224994, '1991', null, 223, null);
insert into aluno values (1192, '15938453752', 'Otto', 'Miguel', '1987-08-06', 448956, '2008', null, 224, null);
insert into aluno values (1193, '77152434686', 'Pedro', 'Miguel', '1959-04-27', 528412, '2019', null, 225, null);
insert into aluno values (1194, '92313822175', 'Yuri', 'Enzo', '1979-02-07', 864757, '2004', null, 226, null);
insert into aluno values (1195, '48528242175', 'Lucas', 'João', '1977-12-12', 173125, '1997', null, 227, null);
insert into aluno values (1196, '73625621886', 'Gael', 'Vitor', '2000-12-23', 325333, '2009', null, 228, null);
insert into aluno values (1197, '34927818441', 'Otto', 'Pedro', '1986-06-11', 783339, '2010', null, 229, null);
insert into aluno values (1198, '16967171385', 'Emanuel', 'Ícaro', '1974-04-20', 928762, '2003', null, 230, null);
insert into aluno values (1199, '88541361945', 'Otto', 'Miguel', '1971-03-26', 134507, '2015', null, 231, null);
insert into aluno values (1200, '46867928938', 'Miguel', 'Isaac', '1960-08-07', 331032, '2018', null, 232, null);
insert into aluno values (1201, '75825523852', 'Davi', 'João', '1999-07-05', 779169, '1993', null, 233, null);
insert into aluno values (1202, '94631766133', 'Augusto', 'Arthur', '1958-04-16', 861645, '2012', null, 234, null);
insert into aluno values (1203, '65168247473', 'Matheus', 'José', '1989-12-23', 480182, '1999', null, 235, null);
insert into aluno values (1204, '36274428839', 'Davi', 'Valentim', '1990-06-11', 851378, '2015', null, 236, null);
insert into aluno values (1205, '34563364633', 'Pedro', 'Bruno', '1997-08-23', 386077, '2009', null, 237, null);
insert into aluno values (1206, '57763486451', 'Vitor', 'Luiz', '1955-11-08', 775311, '2014', null, 238, null);
insert into aluno values (1207, '44368452765', 'Gabriel', 'Vinícius', '1996-02-14', 571593, '2015', null, 239, null);
insert into aluno values (1208, '16576397738', 'Anthony', 'Bernardo', '1950-09-09', 306374, '2016', null, 240, null);
insert into aluno values (1209, '38685193474', 'João', 'Oliver', '1958-08-15', 38086, '2005', null, 241, null);
insert into aluno values (1210, '87419458181', 'Otto', 'Miguel', '1976-10-27', 841982, '2008', null, 242, null);
insert into aluno values (1211, '85368722913', 'Matheus', 'Martin', '1955-05-10', 876940, '1996', null, 243, null);
insert into aluno values (1212, '44815572379', 'João', 'Miguel', '1976-08-07', 160345, '2013', null, 244, null);
insert into aluno values (1213, '52623147375', 'Isaac', 'Leonardo', '1976-01-30', 776902, '2017', null, 245, null);
insert into aluno values (1214, '99263444384', 'Lucas', 'Felipe', '1958-04-02', 523577, '1997', null, 246, null);
insert into aluno values (1215, '48795552639', 'João', 'Guilherme', '1957-10-18', 841174, '1998', null, 247, null);
insert into aluno values (1216, '16351249315', 'Pedro', 'Breno', '1965-04-25', 328894, '2001', null, 248, null);
insert into aluno values (1217, '65523654839', 'Gabriel', 'Lucas', '1982-09-02', 70571, '1997', null, 249, null);
insert into aluno values (1218, '21421575993', 'Davi', 'Felipe', '1976-09-16', 70571, '2010', null, 250, null);
insert into aluno values (1219, '51968548867', 'Luiz', 'Theodoro', '1956-08-19', 607601, '2008', null, 251, null);
insert into aluno values (1220, '23439914844', 'Felipe', 'Hugo', '1970-06-16', 929945, '1996', null, 252, null);
insert into aluno values (1221, '23788737566', 'Henry', 'Enrico', '1961-07-23', 927019, '1994', null, 253, null);
insert into aluno values (1222, '38172486814', 'Luan', 'Ícaro', '1970-10-12', 480690, '2017', null, 254, null);
insert into aluno values (1223, '44471595397', 'Vinícius', 'Luan', '1983-01-09', 779169, '2002', null, 255, null);
insert into aluno values (1224, '89965939556', 'Levi', 'Arthur', '1968-08-25', 351791, '1992', null, 256, null);
insert into aluno values (1225, '15857198179', 'Henrique', 'Davi', '1957-10-15', 480690, '2010', null, 257, null);
insert into aluno values (1226, '25811743997', 'Vitor', 'Benício', '1961-02-19', 636263, '1993', null, 258, null);
insert into aluno values (1227, '19137449862', 'Bruno', 'Samuel', '1999-08-19', 699653, '2004', null, 259, null);
insert into aluno values (1228, '33713254536', 'João', 'Enrico', '1952-04-29', 608714, '1995', null, 260, null);
insert into aluno values (1229, '98983639968', 'Gabriel', 'Benjamin', '1995-09-14', 779169, '2006', null, 261, null);
insert into aluno values (1230, '83248692828', 'Benjamin', 'João', '1997-04-16', 699653, '2002', null, 262, null);
insert into aluno values (1231, '69713354828', 'Lucas', 'Arthur', '1997-12-22', 789100, '2000', null, 263, null);
insert into aluno values (1232, '94194419839', 'Lucca', 'Emanuel', '2000-05-20', 68025, '1998', null, 264, null);
insert into aluno values (1233, '65733399248', 'Arthur', 'Gustavo', '1960-02-10', 121844, '2018', null, 265, null);
insert into aluno values (1234, '63732299336', 'Miguel', 'Lucas', '1989-07-30', 972808, '2016', null, 266, null);
insert into aluno values (1235, '52949227351', 'Matteo', 'Yuri', '1973-11-24', 200347, '2003', null, 267, null);
insert into aluno values (1236, '79752157334', 'Henrique', 'Henrique', '1992-05-25', 610097, '2007', null, 268, null);
insert into aluno values (1237, '73183289614', 'João', 'Emanuel', '1976-09-30', 24335, '2005', null, 269, null);
insert into aluno values (1238, '45932989278', 'Augusto', 'Henry', '1973-03-07', 950880, '2003', null, 270, null);
insert into aluno values (1239, '29138223281', 'Levi', 'Vitor', '1966-08-26', 803577, '2005', null, 271, null);
insert into aluno values (1240, '11141875468', 'Luiz', 'Matteo', '1951-07-17', 328894, '2018', null, 272, null);
insert into aluno values (1241, '86223359777', 'Augusto', 'Bruno', '1979-11-12', 633043, '2005', null, 273, null);
insert into aluno values (1242, '26651152437', 'João', 'Gabriel', '1977-05-01', 853716, '2000', null, 274, null);
insert into aluno values (1243, '43651457861', 'Raul', 'Ícaro', '1970-08-22', 242169, '2001', null, 275, null);
insert into aluno values (1244, '31989298427', 'Gabriel', 'Antônio', '1987-07-27', 219286, '2003', null, 276, null);
insert into aluno values (1245, '41446323215', 'Martin', 'Bryan', '1971-02-19', 77945, '2001', null, 277, null);
insert into aluno values (1246, '14528683346', 'Davi', 'Antônio', '1970-09-18', 851378, '1993', null, 278, null);
insert into aluno values (1247, '18899137671', 'Guilherme', 'Derick', '1993-08-13', 427416, '1993', null, 279, null);
insert into aluno values (1248, '26669658276', 'Gabriel', 'Vicente', '1984-03-04', 542793, '2014', null, 280, null);
insert into aluno values (1249, '35592625627', 'Thiago', 'João', '1967-03-20', 111148, '1998', null, 281, null);
insert into aluno values (1250, '41724652444', 'Caio', 'Hugo', '1977-11-27', 796628, '1994', null, 282, null);
insert into aluno values (1251, '61169285969', 'Thiago', 'Thomas', '1994-08-28', 104406, '2011', null, 283, null);
insert into aluno values (1252, '73962337955', 'Lorenzo', 'Bernardo', '1951-05-28', 947006, '1999', null, 284, null);
insert into aluno values (1253, '63541531217', 'Davi', 'Pietro', '1983-09-17', 88749, '2012', null, 285, null);
